run,family,scenario,reference,challenger,window_type,n_windows,delta_wis,delta_dispersion,delta_overprediction,delta_underprediction,fraction_of_delta_dispersion,fraction_of_delta_overprediction,fraction_of_delta_underprediction
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,all,9922,0.004225467178693487,-0.0001842796285123488,-8.131871401880451e-05,0.004491065521224635,-0.043611657769242924,-0.019244904901603858,1.0628565626708455
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,censored,4134,0.011143838631114622,-0.001247185922897593,1.8430196398824285e-06,0.012389181534372351,-0.11191708388663626,0.00016538463099569192,1.1117516992556422
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S1_fixed_50pct,B4_plain,B4,clean,5788,-0.0007158852028388285,0.000574886684719958,-0.00014071584721593935,-0.0011500560403428575,-0.8030431170252664,0.19656202790326363,1.6064810891220174
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,all,9922,-0.004598126724723137,0.0007237541926707024,0.000841293481285945,-0.006163174398679791,-0.15740196736623896,-0.18296439651445257,1.340366363880693
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,censored,2998,-0.010696390016234625,6.144840465505813e-05,7.033833633155926e-06,-0.010764872254522828,-0.005744779739874274,-0.0006575894879001427,1.0064023692277735
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S2_fixed_70pct,B4_plain,B4,clean,6924,-0.0019576597478382085,0.001010523798746804,0.0012025168238138269,-0.004170700370398829,-0.5161897004128009,-0.614262424888561,2.1304521253013564
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,all,9922,0.0023136032402215623,-0.0002996505247923574,0.0004487156242385139,0.0021645381407754127,-0.12951681584075814,0.19394666139711259,0.9355701544436485
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,censored,2211,0.015173241808359758,-0.0032147339572962917,0.0001077744629977486,0.01828020130265831,-0.21186863017797036,0.00710292924603428,1.2047657009319368
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S3_fixed_85pct,B4_plain,B4,clean,7711,-0.001373682568902218,0.000536200787523318,0.000546474787447352,-0.002456358143872888,-0.3903382045182565,-0.3978173704890707,1.7881555750073272
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S4_random_uniform,B4_plain,B4,all,9922,0.000677152633868569,-0.001696931695416945,0.0007637841946432737,0.0016103001346422369,-2.5059810898502812,1.1279350569454025,2.3780460329048734
pap_benchmark_semisyn,RQ1_control_inputs_B4_vs_B4plain,S4_random_uniform,B4_plain,B4,censored,3551,0.007907850965771263,-0.003346694303046051,5.241772208599795e-05,0.011202127546731305,-0.4232116054705697,0.006628567269778533,1.4165830382007898
